price,item_id,developer,año
19.99,17330,crytek,2008
19.99,17300,crytek,2007
4.99,7730,"microprose software, inc",1998
9.99,20900,cd projekt red,2008
9.99,1530,introversion software,2008
2.99,8690,simbin,2008
2.49,17120,"tilted mill entertainment, inc.",2008
19.99,16810,firaxis games,2008
9.99,19830,"red storm entertainment,ubisoft montreal",2003
19.99,21000,traveller's tales,2008
9.99,4460,monte cristo,2008
9.99,17140,"tilted mill entertainment, inc.",2008
9.99,15390,gearbox software,2008
4.99,21300,dark castle software,2008
4.99,3050,techland,2006
9.99,15380,nival,2006
9.99,19800,gearbox software,2005
9.99,15370,nival,2007
19.99,19930,blue byte,2008
9.99,15350,ubisoft,2007
9.99,19810,red storm entertainment,2002
4.99,3540,"popcap games, inc.",2008
9.99,22000,2d boy,2008
15.99,2820,egosoft,2008
0.0,1230,sandstorm productions,2008
4.99,18300,shorebound studios,2008
19.99,20200,perpetual fx creative,2008
14.99,12200,rockstar new england,2008
9.99,19900,ubisoft montreal,2008
4.99,11240,meridian4,2008
4.99,256522,railsimulator.com,2009
4.99,275144,railsimulator.com,2009
4.99,256521,railsimulator.com,2009
4.99,222569,reppo,2009
4.99,256535,railsimulator.com,2009
4.99,256611,dovetail games,2009
4.99,256576,dovetail games,2009
9.99,9480,volition,2009
19.99,17470,ea redwood shores,2008
9.99,12770,liquid entertainment,2008
19.99,17410,dice,2009
9.99,18500,hidden path entertainment,2008
14.99,16450,monolith,2009
7.99,15400,oxeye game studio,2008
9.99,18600,inventive dingo,2007
4.99,11340,meridian4,2009
9.99,25830,black sea studios ltd,2005
5.99,23460,realmforge studios,2009
2.99,10600,"the creative assembly,feral interactive (mac),feral interactive (linux)",2009
4.99,21010,deadline games,2009
9.99,22180,frictional games,2007
19.99,13210,"epic games, inc.",2007
9.99,12640,radon labs,2009
4.99,27020,tale of tales,2008
19.99,24740,criterion games,2009
9.99,26000,twisted pixel games,2009
1.25,26006,twisted pixel games,2009
1.25,26005,twisted pixel games,2009
4.99,11330,ionfx,2009
9.99,27800,llamasoft ltd,2009
14.99,9850,"innoglow,stormregion,thq nordic",2009
4.99,3600,spintop games,2009
19.99,29580,arenanet®,2006
19.99,29540,arenanet®,2005
19.99,29560,arenanet®,2006
29.99,29570,arenanet®,2008
14.99,23700,infinite interactive,2009
9.99,16060,mumbojumbo,2009
9.99,1930,reality pump studios,2009
9.99,18470,spellbound,2009
9.99,7510,gaijin entertainment,2009
9.99,22200,ace team,2009
1.25,26007,twisted pixel games,2009
6.99,25900,1c company,2008
9.99,16200,last day of work,2009
2.99,7840,sky fallen,2009
4.99,8890,irrational games,2005
4.99,8880,irrational games,2002
14.99,34500,saintxi,2009
0.0,1280,darklight games,2009
19.99,10150,radical entertainment,2009
4.99,29160,erik svedäng,2009
4.99,12470,ascaron entertainment ltd.,2004
4.99,22340,headfirst productions,2006
14.99,22330,bethesda game studios,2007
14.99,22320,bethesda game studios,2002
19.99,900883,bethesda game studios®,2009
4.99,12440,deck 13,2007
9.99,32710,novalogic,1999
9.99,32740,novalogic,1998
4.99,12460,mascot entertainment,2008
9.99,21980,techland,2009
6.99,31860,her interactive,2007
6.99,31900,her interactive,2006
6.99,31920,her interactive,2008
6.99,31930,her interactive,2007
0.0,35800,digital eel,2008
19.99,31170,telltale games,2009
19.99,21660,capcom,2009
9.99,6080,frontier,2007
5.99,6010,lucasarts,1992
5.99,6090,planet moon studios,2003
9.99,6060,pandemic studios,2005
5.99,32310,lucasarts,1989
19.99,32330,traveller's tales,2008
9.99,32360,lucasarts,2009
12.99,35300,gfi russia,2008
9.99,35310,targem games,2009
6.99,31980,her interactive,2009
9.99,10140,wanako games,2006
19.99,10100,sierra,2006
19.99,10130,saber interactive,2007
19.99,10110,sierra,2006
7.99,1256,tripwire interactive,2009
9.99,10120,artech studios,2008
6.99,33520,"poptop software,breakaway games,frog city software",2009
4.99,3610,spintop games,2009
9.99,21680,capcom,2008
9.99,21670,capcom,2009
4.99,21030,deadline games,2009
4.99,36000,sakari indie,2009
9.99,32370,"bioware,aspyr (mac)",2003
9.99,29180,hemisphere games,2009
9.99,38410,black isle studios,1998
9.99,38420,14° east,2001
9.99,38430,xatrix entertainment,1999
9.99,38440,shiny entertainment,2000
19.99,31180,telltale games,2009
19.99,37960,iwin,2009
9.99,38000,iwin,2009
4.99,37400,size five games,2009
9.99,13570,ubisoft montreal,2005
4.99,34420,unicorn games studio,2009
14.99,43100,blue fang,2009
9.99,35000,io interactive,2009
19.99,39392,"freeze tag inc.,iq212",2009
19.99,39391,"freeze tag inc.,joju games,linksolutions ltd.,dekovir entertainment",1999
2.99,37600,"vectorpark, inc.",2009
24.99,24029,all aboard,2009
9.99,32140,mumbojumbo,2009
19.99,31190,telltale games,2009
19.99,32770,novalogic,2009
17.99,208306,dovetail games,2009
9.99,37300,playfirst,2009
19.99,208300,dovetail games,2009
9.99,40300,piranha bytes,2009
3.99,35070,honeyslug,2009
9.99,10606,"the creative assembly,feral interactive (mac),feral interactive (linux)",2009
9.99,40700,amanita design,2009
9.99,24840,ea los angeles,2007
19.99,24870,slightly mad studios,2009
14.99,41500,runic games,2009
19.99,24800,ea los angeles,2009
19.99,901735,firefly studios,2009
4.99,42800,nitro games,2009
9.99,39560,homegrown games,2009
14.99,39550,"phenomic,thq nordic",2009
9.99,40330,animation arts,2009
4.99,40320,stormregion,2009
19.99,31200,telltale games,2009
4.99,3130,1c company,2009
4.99,41100,konstantin koshutin,2009
9.99,39540,phenomic,2009
9.99,34640,wargaming.net,2005
9.99,34630,wargaming.net,2003
6.99,42200,her interactive,2009
14.99,41000,croteam,2009
9.99,40340,animation arts,2009
19.99,17450,bioware,2009
4.99,37100,citeremis inc.,2009
1.99,37500,yullaby,2009
9.99,42810,crystal empire games,2009
19.99,10180,"infinity ward,aspyr (mac)",2009
19.99,32440,"traveller's tales,feral interactive (mac)",2009
4.99,11450,"triumph studios,virtual programming",2007
9.99,12710,"triumph studios,virtual programming",2008
14.99,24790,ea los angeles,2007
4.99,29120,kranx productions,2008
19.99,24810,ea los angeles,2009
14.99,41800,positech games,2009
9.99,45300,gaijin entertainment,2009
9.99,41900,inxile entertainment,2005
0.0,35420,defence alliance team,2009
19.99,32430,"lucasarts,aspyr studios",2009
9.99,25806,paradox interactive,2009
19.99,22370,bethesda game studios,2009
5.99,41802,positech games,2009
9.99,38080,hip soft,2007
9.99,38090,hip soft,2008
9.99,38100,hip soft,2009
9.99,38070,iwin,2009
1.99,38210,spidermonk entertainment,2009
19.99,45700,capcom,2008
9.99,46410,clockstone studios,2010
9.99,38110,hip soft,2009
0.0,17570,octoshark studios,2010
4.99,38130,alawar,2008
9.99,38160,alawar,2010
9.99,38150,alawar,2009
4.99,38120,alawar,2007
4.99,38140,alawar,2009
6.99,36300,sandlot games,2010
6.99,36310,sandlot games,2010
6.99,36320,cateia games,2010
9.99,37030,chaos concept,2010
19.99,32450,traveller's tales,2010
4.99,44100,new star games ltd,2010
0.99,25960,paradox interactive,2010
6.99,46250,the farm 51,2010
9.99,38180,awem studio,2007
7.49,10695,rebellion,2010
9.99,41050,croteam,2001
19.99,24055,all aboard,2010
19.99,48700,taleworlds entertainment,2010
4.99,39900,zooptek,2010
4.99,49900,beatnik games,2010
9.99,42120,fatshark,2010
19.99,12220,rockstar north / toronto,2010
4.99,45730,other ocean interactive,2010
0.99,45400,nemesys games,2010
9.99,49600,cold beam games,2010
19.99,901399,telltale games,2010
9.99,43500,realmforge studios,2010
4.99,45302,gaijin entertainment,2010
4.99,40930,the odd gentlemen,2010
4.99,39640,thq nordic,2003
4.99,39630,thq nordic,2001
1.99,23150,red chain games ltd.,2010
9.99,50940,big fish games,2006
9.99,50920,big fish games,2008
2.99,34178,"the creative assembly,feral interactive (mac)",2010
6.99,37340,sarbakan,2008
6.99,37390,playfirst,2009
6.99,37310,absolutist ltd.,2009
6.99,37360,playfirst,2007
6.99,49000,playfirst,2009
6.99,37330,playfirst,2010
6.99,37320,playfirst,2008
6.99,37370,playfirst,2007
6.99,37380,playfirst,2009
9.99,19080,g5 entertainment,2010
14.99,19030,climax studios,2010
4.99,49800,muse games,2010
4.99,33650,ideas pad,2010
19.99,901478,ubisoft,2010
4.99,33660,kokakiki,2010
2.99,34281,sega,2010
2.99,34272,sega,2010
61.99,34270,d3t limited,2010
2.99,34276,sega,2010
2.99,34274,sega,2010
2.99,34275,sega,2010
2.99,34277,sega,2010
2.99,34273,sega,2010
2.99,34280,sega,2010
4.99,34278,sega,2010
2.99,34282,sega,2010
2.99,34279,sega,2010
14.99,34010,obsidian entertainment,2010
9.99,22610,team17 software ltd.,2010
4.99,22440,bethesda game studios,2010
0.99,18508,hidden path entertainment,2010
4.99,22430,bethesda game studios,2010
4.99,22410,bethesda game studios,2010
4.99,22420,bethesda game studios,2010
0.0,630,valve,2010
4.99,22400,bethesda game studios,2010
19.99,24780,"ea - maxis,aspyr (mac)",2003
14.99,33670,"akella,.dat",2010
4.99,40420,"arcen games, llc",2010
9.99,34920,invent4 entertainment,2010
3.99,48136,blue byte,2010
9.99,46720,dagger games,2008
9.99,28000,io interactive,2010
9.99,39680,rune forge,2010
0.99,25962,paradox interactive,2010
19.99,24634,n3v games,2010
4.99,63900,ino-co,2010
29.99,50130,"2k czech,feral interactive (mac)",2011
4.99,24075,dovetail games,2010
9.99,47540,infinite interactive,2010
9.99,50510,doublesix,2010
1.99,25760,playbrains,2010
1.99,25763,playbrains,2010
1.99,25762,playbrains,2010
2.99,25764,playbrains,2010
9.99,42980,paradox development studio,2010
19.99,48800,vstep,2010
19.99,22600,team17 digital ltd,2010
14.99,46770,muzzy lane software,2010
8.99,65700,bohemia interactive,2010
19.99,42960,paradox development studio,2010
1.99,25761,playbrains,2010
5.99,28010,io interactive,2010
1.99,28012,io interactive,2010
19.99,24640,n3v games,2010
2.99,28011,io interactive,2010
4.99,4850,gsc game world,2002
5.99,57640,revolution software ltd,2010
4.99,62100,zoë mode,2010
9.99,50145,"2k czech,feral interactive (mac)",2010
1.99,34841,city interactive,2010
4.99,70300,terry cavanagh,2010
3.99,48137,blue byte,2010
19.99,57300,frictional games,2010
19.99,70400,easygamestation,2010
3.99,46600,dedication games,2010
2.99,34314,sega,2010
2.99,34310,sega,2010
4.99,70100,exosyphen studios,2010
4.99,70110,exosyphen studios,2010
9.99,38600,subsoap,2010
14.99,57620,gaming minds studios,2010
2.99,34284,sega,2010
14.99,63910,katauri interactive,2010
4.99,24082,dovetail games,2010
29.99,8930,"firaxis games,aspyr (mac, linux)",2010
4.99,49310,nitro games,2010
9.99,41060,croteam,2002
9.99,70900,blind mind studios,2010
2.99,9940,krome studios,2010
9.99,22650,team17 digital ltd,2010
19.99,50620,vigil games,2010
4.99,2840,egosoft,1999
9.99,42920,neocoregames,2010
19.99,29700,arenanet®,2007
4.99,2850,egosoft,2000
9.99,61510,triumph studios,2010
7.99,70200,i sioux game productions b.v.,2010
14.99,70210,i sioux game productions b.v.,2010
9.99,61520,triumph studios,2010
5.99,61500,triumph studios,2010
19.99,47790,electronic arts,2010
9.99,46450,"headup games,silent dreams",2010
19.99,45750,"capcom co., ltd.",2010
4.99,57800,stickmen studios,2010
9.99,22380,obsidian entertainment,2010
6.99,67000,dmytry lavrov,2010
4.99,80300,ivy games,2010
9.99,50000,noumenon games,2010
4.99,16868,"firaxis games,aspyr (mac, linux)",2010
14.99,18040,hothead games,2010
2.99,71115,sega,2010
2.99,34317,sega,2010
2.99,71114,sega,2010
2.99,71112,sega,2010
4.99,71113,sega,2010
2.99,71111,sega,2010
2.99,71110,sega,2010
2.99,34319,sega,2010
2.99,34318,sega,2010
2.99,34316,sega,2010
2.99,34315,sega,2010
9.99,6120,klei entertainment,2010
9.99,35460,teotl studios,2010
19.99,32500,aspyr studios,2010
4.99,62000,firemint,2010
4.99,33570,ascaron entertainment ltd.,2010
9.99,63700,gaijin games,2010
1.99,46362,1c company,2010
4.99,49320,nitro games,2010
4.99,72400,tomkorp computer solutions inc.,2010
1.99,42964,paradox interactive,2010
3.99,43011,double helix games,2010
9.99,33980,centauri production,2010
6.99,65710,centauri production,2009
12.99,33990,centauri production,2010
4.99,33950,altar games,2007
9.99,65400,react games,2010
39.99,42700,treyarch,2010
0.99,38923,sonic boom games,2010
4.99,72500,joshyy,2010
4.99,15740,oddworld inhabitants,2010
1.99,38924,sonic boom games,2010
9.99,15750,oddworld inhabitants,2010
4.99,45500,"ntreev soft co., ltd.",2010
19.99,31290,telltale games,2010
9.99,12100,rockstar games,2002
14.99,12120,rockstar games,2005
3.49,35135,crystal dynamics inc.,2011
3.49,35137,crystal dynamics inc.,2011
3.49,35138,crystal dynamics,2011
3.49,35136,crystal dynamics inc.,2011
9.99,12110,rockstar games,2003
9.99,33390,brightside games,2011
4.99,92300,extend studio,2011
14.99,80000,bluegiant interactive,2011
19.99,47780,visceral games,2011
9.99,51060,big fish studios,2011
4.99,65080,cateia games,2011
2.99,71168,sega,2011
4.99,63200,uber entertainment,2011
9.99,60340,mumbojumbo,2011
2.99,71116,sega,2011
2.99,71161,sega,2011
2.99,71119,sega,2011
2.99,71118,sega,2011
2.99,71117,sega,2011
4.99,71166,sega,2011
2.99,71165,sega,2011
4.99,71163,sega,2011
2.99,71164,sega,2011
4.99,71162,sega,2011
2.99,71160,sega,2011
2.99,71120,sega,2011
19.99,47890,the sims studio,2009
3.99,48802,vstep,2011
19.99,47896,the sims studio,2010
19.99,47892,the sims studio,2009
19.99,47894,the sims studio,2010
19.99,47893,the sims studio,2010
19.99,47895,the sims studio,2010
4.99,42000,trinoteam,2011
14.99,47570,virtual prophecy entertainment,2011
19.99,47897,the sims studio,2011
5.99,57700,mediatonic,2011
5.99,63660,cyan worlds,2011
2.99,90504,petroglyph,2011
19.99,7520,reality pump studios,2011
19.99,9930,eden studios,2011
3.99,24449,neocoregames,2011
6.99,41814,positech games,2011
3.99,42925,neocoregames,2011
9.99,57650,realmforge studios,2011
4.99,40407,"arcen games, llc",2011
19.99,33770,dtp,2011
9.99,47800,stainless games,2011
4.99,18408,fakt software,2011
9.99,63710,gaijin games,2011
19.99,55100,"kaos studios,digital extremes",2011
9.99,80200,red redemption,2011
2.99,92400,copenhagen game collective,2011
0.99,56436,"relic entertainment,feral interactive (mac/linux)",2011
0.99,56435,"relic entertainment,feral interactive (mac/linux)",2011
2.99,56433,"relic entertainment,feral interactive (mac/linux)",2011
0.99,56432,"relic entertainment,feral interactive (mac/linux)",2011
0.99,56431,"relic entertainment,feral interactive (mac/linux)",2011
0.0,39120,trion worlds,2013
29.99,56437,"relic entertainment,feral interactive (mac/linux)",2011
3.99,94000,stout games,2011
2.99,56434,"relic entertainment,feral interactive (mac/linux)",2011
9.99,92700,black lion studios,2011
3.99,73012,colossal order ltd.,2011
3.99,48803,vstep,2011
6.99,56536,"relic entertainment,feral interactive (mac/linux)",2011
3.99,44620,simbin,2011
9.99,91200,11 bit studios,2011
14.99,46790,ntronium games,2010
9.99,73170,martin ivanov,2011
3.99,57655,realmforge studios,2011
9.99,70000,800 north and digital ranch,2011
9.99,57730,gaming minds studios,2011
19.99,620,valve,2011
4.99,42918,arrowhead game studios,2011
9.99,91600,coffee stain studios,2011
19.99,73020,1c:inoco,2011
2.99,56482,"relic entertainment,feral interactive (mac/linux)",2011
9.99,56438,"relic entertainment,feral interactive (mac/linux)",2011
2.99,56481,"relic entertainment,feral interactive (mac/linux)",2011
24.99,98200,mode 7,2011
2.99,56480,"relic entertainment,feral interactive (mac/linux)",2011
4.99,72905,inner seas,2011
4.99,22450,inxile entertainment,2011
9.99,42140,fatshark,2011
19.99,47898,the sims studio,2011
5.99,73181,colossal order ltd.,2011
0.99,73031,arrowhead game studios,2011
1.99,9992,behaviour,2011
7.99,46490,microids,2009
7.99,46480,microids,2005
14.99,42718,treyarch,2011
14.99,39160,obsidian entertainment,2011
19.99,57900,gearbox software,2011
0.0,102700,red duck inc.,2011
0.0,9880,cryptic studios,2009
0.0,99900,grey havens,2011
9.99,22520,"apus software,three donkeys llc",2011
3.99,73014,colossal order ltd.,2011
9.99,7530,reality pump studios,2011
0.0,95700,peter brinson and kurosh valanejad,2011
19.99,49470,stainless games ltd,2011
9.99,91810,bacon wrapped games,2011
4.99,49604,cold beam games,2011
5.99,98210,mode 7,2011
9.99,97000,murudai,2011
9.99,46760,totem games,2011
9.99,46830,totem games,2011
2.99,73035,arrowhead game studios,2011
9.99,46840,totem games,2011
19.99,21100,day 1 studios,2011
1.99,73037,arrowhead game studios,2011
1.99,73036,arrowhead game studios,2011
19.99,24635,n3v games,2011
1.99,901679,arrowhead game studios,2011
1.99,25810,paradox interactive,2011
14.99,99100,bedlam games,2011
3.99,44660,simbin,2011
6.99,90209,giants software,2011
1.99,25809,paradox interactive,2011
4.99,42903,paradox development studio,2011
4.99,22631,team17 digital ltd,2011
4.99,22634,team17 digital ltd,2011
4.99,22633,team17 digital ltd,2011
2.99,57656,realmforge studios,2011
4.99,22632,team17 digital ltd,2011
9.99,94590,telltale games,2011
7.99,35425,tripwire interactive,2011
3.99,73192,ageod,2011
0.99,105700,secret base,2011
4.99,72750,obsidian entertainment,2011
6.99,56538,"relic entertainment,feral interactive (mac/linux)",2011
4.99,61100,yeaboing,2011
8.99,65228,dovetail games,2011
0.99,55205,"kaos studios,digital extremes",2011
9.99,102200,mystic box,2011
1.99,64013,digitalmindsoft,2011
1.99,15522,"dejobaan games, llc",2011
0.99,63802,lunar giant,2011
0.99,92302,extend studio,2011
2.99,73183,colossal order ltd.,2011
6.99,42210,her interactive,2010
4.99,65790,bohemia interactive,2011
1.99,92803,zachtronics,2011
14.99,57690,haemimont games,2011
6.99,42220,her interactive,2011
6.99,42230,her interactive,2010
6.99,111000,total eclipse,2011
3.99,73193,ageod,2011
6.99,38740,two tribes,2011
4.99,99612,"firaxis games,aspyr (mac, linux)",2011
4.99,99614,"firaxis games,aspyr (mac, linux)",2011
9.99,91604,coffee stain studios,2011
4.99,70120,exosyphen studios,2011
9.99,107200,minmax games ltd.,2011
3.99,97108,timegate studios,2011
2.99,97106,timegate studios,2011
3.99,97107,timegate studios,2011
6.99,56487,"relic entertainment,feral interactive (mac/linux)",2011
4.99,72760,obsidian entertainment,2011
0.0,99910,three rings,2011
14.99,18070,hothead games,2011
29.99,55150,relic,2011
7.99,63940,1c company,2011
14.99,98400,flying wild hog,2012
3.99,73194,ageod,2011
9.99,46520,"octane games,meridian4",2011
9.99,22230,ace team,2011
19.99,35450,tripwire interactive,2011
5.99,73185,colossal order ltd.,2011
4.99,49473,stainless games ltd,2011
9.99,73210,paradox development studio,2011
4.99,110600,pompom,2011
6.99,200080,her interactive,2010
9.99,200440,reality pump studios,2011
4.99,111400,ngd studios,2011
9.99,57923,gearbox software,2011
19.99,48220,blackhole,2011
14.99,9420,gas powered games,2011
4.99,113200,edmund mcmillen and florian himsl,2011
6.99,90208,giants software,2011
4.99,200230,1c-avalon,2011
14.99,9350,gas powered games,2007
18.99,901776,red redemption,2011
1.99,201100,steel monkeys,2011
2.99,80202,red redemption,2011
4.99,80204,red redemption,2011
1.99,34842,city interactive,2011
5.99,95900,"games farm,3division",2011
3.99,80207,red redemption,2011
19.99,45770,capcom vancouver,2011
1.99,18080,hothead games,2011
14.99,200670,"akella,.dat",2011
0.0,108210,days of wonder,2011
8.99,65231,dovetail games,2011
9.99,115100,double fine productions,2011
19.99,47930,the sims studio,2011
5.99,41816,positech games,2011
4.99,201480,"vlambeer,croteam",2011
4.99,200910,iridium studios,2011
4.99,200130,ideas pad,2011
9.99,201490,b-alive,2011
14.99,65610,spellbound studios,2011
8.99,43190,ktx software,2011
1.99,102622,robot entertainment,2011
6.99,39270,obsidian entertainment,2011
0.0,24200,daybreak game company,2011
2.99,57696,"haemimont games,feral interactive (mac)",2011
19.99,71340,devil's details,2011
6.99,202670,her interactive,2011
2.99,102623,robot entertainment,2011
39.99,115300,"infinity ward,sledgehammer games,aspyr (mac)",2011
19.99,110800,"team bondi,rockstar leeds",2011
11.99,110810,"team bondi,rockstar leeds",2011
1.99,64016,digitalmindsoft,2011
4.99,94203,final form games,2011
2.99,94202,final form games,2011
0.99,202520,trendy entertainment,2011
1.99,202521,trendy entertainment,2011
6.99,61310,cipher prime studios,2011
2.99,73092,arrowhead game studios,2011
9.99,91100,digital reality,2011
1.99,73091,arrowhead game studios,2011
4.99,34345,"the creative assembly,feral interactive (mac),feral interactive (linux)",2011
1.59,201272,"the creative assembly,feral interactive (mac),feral interactive (linux)",2011
5.99,73058,arrowhead game studios,2011
1.99,25812,paradox interactive,2011
1.99,25811,paradox interactive,2011
3.99,46350,unicorn games studio,2010
19.99,202200,stardock entertainment,2011
12.99,24083,"krossrails,dovetail games",2011
0.0,113400,reloaded productions,2011
4.99,80340,wadjet eye games,2012
1.99,64017,digitalmindsoft,2011
7.99,35429,tripwire interactive,2011
9.99,201510,team 6 studios,2011
3.99,201877,ubisoft montreal,2011
1.99,203700,trendy entertainment,2011
2.99,57695,"haemimont games,feral interactive (mac)",2011
9.99,23530,"vicious cycle software, inc.",2011
2.99,49475,stainless games ltd,2011
0.99,55344,relic,2011
0.99,55341,relic,2011
2.99,98820,"gaslamp games, inc.",2011
0.99,55340,relic,2011
4.99,49337,nitro games,2011
0.99,55343,relic,2011
9.99,201310,egosoft,2011
19.99,35720,frozenbyte,2013
3.99,204381,trendy entertainment,2011
5.99,203990,astro port,2011
9.99,204030,lionhead studios,2011
2.99,200620,avalanche studios,2011
2.99,202452,fakt software,2011
1.99,204380,trendy entertainment,2011
2.99,55395,volition,2011
4.99,200610,avalanche studios,2011
2.99,55471,relic,2011
2.99,55473,relic,2011
2.99,55472,relic,2011
2.99,55470,relic,2011
9.99,55347,relic,2011
0.99,23553,"d3publisher of america, inc.",2011
0.99,23552,"d3publisher of america, inc.",2011
0.99,23551,"d3publisher of america, inc.",2011
0.99,23550,"d3publisher of america, inc.",2011
7.99,200390,unigine corp.,2012
12.99,65244,dovetail games,2012
9.99,24480,neocoregames,2012
4.99,24488,neocore games,2012
9.99,204340,croteam,2005
19.99,203510,lizsoft,2012
0.0,9900,cryptic studios,2010
2.99,204386,trendy entertainment,2012
1.99,204385,trendy entertainment,2012
19.99,57740,"coreplay gmbh,bigmoon studios",2012
9.99,204390,richmakegame,2012
9.99,42968,paradox development studio,2012
9.99,105800,q-games ltd.,2012
5.99,105802,q-games ltd.,2012
4.99,111100,owlchemy labs,2012
9.99,203210,puppygames,2012
0.99,205160,inxile entertainment,2012
39.99,203770,paradox development studio,2012
1.99,203772,paradox interactive,2012
1.99,203773,paradox interactive,2012
1.99,92620,"wxp games, llc",2012
9.99,108710,remedy entertainment,2012
19.99,24065,thomson interactive,2010
1.99,73039,arrowhead game studios,2012
11.99,10220,trashmasters,2011
13.99,108110,little green men games,2012
3.99,65302,hitbox team,2012
0.0,200210,wild shadow studios,2012
1.99,42905,paradox interactive,2012
6.99,55381,volition,2012
9.99,204440,mumbojumbo,2012
